District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link
Sangli,Reddish Brown,146.03880044161954,60.814386785764356,104.93862815651016,6.297876430533207,678.8044541063281,31.17518168672684,Paddy,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,80.98154731000199,53.173689687521,108.22293539898864,6.959059645129556,1356.9729823117502,29.78318968716944,Paddy,MOP,https://youtu.be/2t5Am0xLTOo
Sangli,Reddish Brown,150.2037288104393,73.4059349968433,82.23298325195279,6.3254635307618905,703.5884950768682,19.46740431969507,Paddy,DAP,https://youtu.be/2t5Am0xLTOo
Pune,Black,153.9741576182342,67.43212855555834,129.49854601524456,6.848096387069859,1378.2333785559192,29.71079901233682,Paddy,Urea,https://youtu.be/2t5Am0xLTOo
Solapur,Black,134.21045257216372,60.111240973517816,79.890180200368,6.3726222145441085,1254.9333021905816,20.769901464474344,Paddy,MOP,https://youtu.be/2t5Am0xLTOo
Sangli,Reddish Brown,130.94416077258268,66.53173345061347,83.65170393757148,7.219354222979203,766.7569632646102,25.069886645758267,Paddy,DAP,https://youtu.be/2t5Am0xLTOo
Satara,Black,45.72608700378431,46.78522293691572,59.55114984633528,5.3259138428064565,1003.8977451023028,25.29185248414721,Paddy,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI
Kolhapur,Dark Brown,91.59970479647444,55.27456368655047,57.24856839113265,7.324049771086976,732.1220660039667,25.8809093767277,Paddy,Urea,https://youtu.be/VNptnPJt5yo
Kolhapur,Black,84.89995322420776,47.77502703854194,100.46398129966282,6.270140635653707,1340.4648187471228,23.827003525823894,Paddy,MOP,https://youtu.be/2t5Am0xLTOo
Solapur,Red,79.13710997715344,57.657372220864545,50.14006953891461,7.568761105898677,599.6030789345555,29.777680492878655,Paddy,19:19:19 NPK,https://youtu.be/VNptnPJt5yo
Satara,Black,60.27335777394172,50.420671562351885,63.27104181051325,6.026605886178006,874.7761489467118,30.147246385856548,Paddy,Ammonium Sulphate,https://youtu.be/rPrZO6MqCqI
Sangli,Reddish Brown,137.45109674164382,64.91543621254726,80.84383705258519,6.945707324003859,804.3094103742385,25.204975534710623,Paddy,DAP,https://youtu.be/2t5Am0xLTOo
Satara,Black,127.50756865007838,58.89967418681098,140.28532615594526,6.8893941369207194,962.4069587674393,34.37910450291898,Paddy,MOP,https://youtu.be/2t5Am0xLTOo
Satara,Black,53.55691947266351,38.02929588497941,70.21845563635821,5.796598322157871,905.1256515606676,30.40387877162083,Paddy,DAP,https://youtu.be/rPrZO6MqCqI
Sangli,Black,109.96998334295964,41.57523474542987,54.92311579105964,7.853410689948915,900.5403781160264,25.493799030864412,Paddy,Urea,https://youtu.be/VNptnPJt5yo
Solapur,Black,134.08378236557357,69.41554854581474,57.3150862245635,7.382635160791062,1230.0078537179825,23.80884080146439,Paddy,MOP,https://youtu.be/2t5Am0xLTOo
Solapur,Black,144.26681413583478,78.23059050252459,68.70795095429798,8.557256459337575,1092.9665251519561,35.314543123584805,Paddy,MOP,https://youtu.be/2t5Am0xLTOo
Kolhapur,Dark Brown,101.47707952761597,79.18907118549656,49.216268129086366,7.17742202855218,618.1720892081842,19.441138258003917,Paddy,Urea,https://youtu.be/VNptnPJt5yo
